CODIGO;DESCRIPCION;PRESENTACION;EXISTENCIAS
962;FIGURA DE ARIEL;Unidad;1
1042;FIGURA DE BABY GROOT;Unidad;0
1328;FIGURA DE BATMAN;Unidad;2
1108;figura de bluey;Unidad;2
990;FIGURA DE CHUCKY;Unidad;0
1043;FIGURA DE DEADPOOL;Unidad;1
928;FIGURA DE DON CANGREJO Y BOB ESPPONJA;Unidad;2
943;FIGURA DE GENIO;Unidad;1
1284;FIGURA DE GOKU BLACK ROSE SUPER SAYAYIN DRAGON BALL;Unidad;0
661;FIGURA DE GOKU SUPER SAIYANS;Unidad;1
1407;FIGURA DE HELLO KITTY CON LAZOS INTERCAMBIABLES;Unidad;1
1441;FIGURA DE HELLO KITTY CUMPLEA�OS;Unidad;1
1235;FIGURA DE HELLO KITTY Y AMIGOS;Unidad;3
961;FIGURA DE HERMOINE;Unidad;1
672;figura de inosuke;Unidad;1
1293;FIGURA DE INOSUKE DEMON SLAYER;Unidad;1
1456;FIGURA DE IT;Unidad;2
F830;FIGURA DE JACK CAMBIA CARAS;Unidad;2
1396;FIGURA DE JACK - SALLY CON NIEVE;Unidad;1
F831;FIGURA DE JACK Y SALLY;Unidad;1
670;figura de jogo;Unidad;0
1288;FIGURA DE KANAO TSUYURI;Unidad;-1
1099;FIGURA DE KRUSTY;Unidad;0
1149;FIGURA DE LA PRINCESA PEACH;Unidad;1
1452;FIGURA DEL GRINCH CON LUZ;Unidad;3
956;FIGURA DE LILO;Unidad;1
944;FIGURA DE LITTLE BROTHER;Unidad;1
942;FIGURA DE LUMIERE;Unidad;1
1234;figura de messi;Unidad;0
946;FIGURA DE MINIONS Y SE�OR CARE PAPA;Unidad;5
1283;FIGURA DE NAMI ONE PIECE;Unidad;0
1233;figura de naruto;Unidad;3
373;FIGURA DE NICO ROBIN ONE PIECE;Unidad;0
663;FIGURA DE NUEVE COLAS;Unidad;1
945;FIGURA DE OSO CARI�OSO;Unidad;1
669;figura de panda jujutsu kaisen;Unidad;1
929;FIGURA DE PATRICIO;Unidad;1
1160;figura de pinocho;Unidad;2
673;figura de rengoko;Unidad;0
1009;FIGURA DE ROLANDO CON LICENCIA ORIGINAL;Unidad;1
941;FIGURA DE SNAPE;Unidad;1
1446;FIGURA DE SNOOPY;Unidad;0
1403;FIGURA DE SONIC EN CARRO;Unidad;1
1045;FIGURA DE STITCH;Unidad;1
958;FIGURA DE STITCH;Unidad;1
1075;figura de stitch 20.5 cm;Unidad;1
1140;FIGURA DE STITCH FUN SERIES;Unidad;2
1302;FIGURA DE STITCH GRANDE;Unidad;2
675;figura de sukuna;Unidad;1
677;figura de tanjiro;Unidad;1
1404;FIGURA DE VINILO DE CHUCKY - TIFFANY;Unidad;1
1405;FIGURA DE VINILO DE EL GRINCH;Unidad;0
674;figura de zenitsu;Unidad;-1
665;FIGURA DE ZORO;Unidad;1
26;FIGURA DORAEMON;Unidad;12
924;FIGURA GALLETA SHREK;Unidad;1
671;FIGURA GETO;Unidad;4
1120;FIGURA HARRY POTTER;Unidad;0
940;FIGURA HEY ARNOLD;Unidad;1
835;FIGURA JACK;Unidad;-1
668;figura jujutsu kaisen combination battle;Unidad;1
28;FIGURA KIRBY;Unidad;6
27;FIGURA KUROMI;Unidad;3
1072;FIGURA MARIO BROS CARRO;Unidad;-1
947;FIGURA METALFIGS;Unidad;1
948;FIGURA MINECRAFT;Unidad;2
678;figura my hero academy 7th;Unidad;1
676;figura my hero academy combination battle;Unidad;1
664;FIGURA NARUTO UZUMAKI;Unidad;1
1096;FIGURA NEZUKO;Unidad;-1
660;FIGURA ONE PIECE THE GRANDLINE;Unidad;1
930;FIGURA PATRICIO;Unidad;1
1082;FIGURA POKEMON;Unidad;11
22;FIGURA POKEMON CAJA NARANJA;Unidad;5
24;FIGURA POKEMON CASUAL;Unidad;4
1091;FIGURAS ARMABLES GUNDAM;Unidad;4
52;FIGURAS ARTICULADAS DE ONE PIECE;Unidad;5
1577;FIGURAS BANDAI GLITTER;Unidad;0
921;FIGURAS CHICAS SUPER PODEROSAS;Unidad;2
959;FIGURAS DC;Unidad;2
915;Figuras de dragon ball;Unidad;5
1287;FIGURAS DE DRAGON BALL DRAGON STARS CELL - MUTENROSHI;Unidad;2
867;FIGURAS DEMON SLAYER;Unidad;9
1212;figuras de naruto;Unidad;6
1255;FIGURAS DE PERSONAJES DE MARIO BROS;Unidad;12
1334;FIGURAS DE SHENGLONG DRAGON BALL;Unidad;1
1442;FIGURAS DE SOUTH PARK y AZAMI Y CONSOLA;Unidad;10
957;FIGURAS DE STITCH;Unidad;2
1274;FIGURAS DRAGON BALL;Unidad;7
991;FIGURAS FIDGET MICKEY MOUSE Y AMIGOS;Unidad;6
923;FIGURAS HELLO KITTY AND FRIENDS;Unidad;7
1100;FIGURAS INDIVIDUALES DE LOS SIMPSON;Unidad;10
919;FIGURAS LOONEY TUNES;Unidad;4
1447;FIGURA SNOOPY NASA;Unidad;1
662;FIGURA SOLID EDGE WORKS;Unidad;1
916;FIGURAS ORIGINALES;Unidad;13
632;FIGURA SORPRESA DE STITCH;Unidad;1
1406;FIGURAS PEQUE�AS DE TOY STORY;Unidad;0
918;figuras rick and morty;Unidad;5
937;FIGURAS SORPRESA SAILOR MOON;Unidad;-2
922;FIGURAS TRANSFORMES;Unidad;1
1313;FIGURA SUPER SAYAYIN DRAGON BALL;Unidad;2
667;FIGURA VEGUETA SUPER HERO;Unidad;1
499;FIGURA WALLE;Unidad;1
25;FIGURA WINNIE POOH;Unidad;2
955;FIGURA WONDER WOMAN;Unidad;1
1324;FIRURAS DE ZELDA;Unidad;1
1035;funko de messi;Unidad;1
1451;FUNKO DE NEZUKO;Unidad;1
968;FUNKO POPS;Unidad;67
964;FUNKO POPS;Unidad;11
1114;FUNKO POPS DE JOE COOL - SNOOPY;Unidad;3
520;FUNKOS PEQUE�OS;Unidad;-5
1165;gargantillas;Unidad;5
1187;gege bear;Unidad;8
1582;GETO BANDAI;Unidad;1
1586;GOMA ADORO;Unidad;0
G272;GORRA BASICA;Unidad;-1
G247;GORRA CHOPPER;Unidad;2
G256;GORRA COSTA RICA;Unidad;0
G270;GORRA CUTIE;Unidad;1
G241;GORRA DEADPOOL;Unidad;10
994;GORRA DE JACK SKELLINGTON;Unidad;2
G252;GORRA DE LA LIGA;Unidad;1
G253;GORRA DE MICKEY;Unidad;2
988;GORRA DE MINECRAFT TIME TO MINE;Unidad;1
G249;GORRA DEMON SLAYER;Unidad;14
986;GORRA DE TOTORO;Unidad;1
G255;GORRA FLASH;Unidad;1
G267;GORRA GATO SONRIENTE;Unidad;2
G265;GORRA HARLEY QUINN;Unidad;1
G259;GORRA HARRY POTTER;Unidad;1
G266;GORRA HELLO KITTY;Unidad;2
G246;GORRA HONGO MARIO;Unidad;3
G248;GORRA IRON MAN;Unidad;2
G269;GORRA LOVE;Unidad;0
G244;GORRA MARIO ROJA;Unidad;5
G260;GORRA MICKEY;Unidad;1
G239;GORRA MINECRAFT VERDE;Unidad;7
G261;GORRA MINNIE;Unidad;0
G251;GORRA NARUTO;Unidad;11
G258;GORRA NEGRA MARIO ADULTO;Unidad;0
G240;GORRA NEGRA MINECRAFT;Unidad;5
G243;GORRA NEGRA SPIDERMAN;Unidad;4
G250;GORRA PIKACHU;Unidad;2
G264;GORRA PLAZA SESAMO;Unidad;1
G268;GORRA PS;Unidad;1
G257;GORRA ROJA MARIO ADULTO;Unidad;2
6242;GORRA ROJA SPIDERMAN;Unidad;6
809;GORRA SAPRISSA;Unidad;2
G262;GORRAS BTS;Unidad;4
G263;GORRAS HAND MADE;Unidad;2
G254;GORRA SONIC;Unidad;2
G271;GORRA URSULA;Unidad;2
G245;GORRA VERDE MARIO;Unidad;5
G508;GORRO DE JACK;Unidad;-1
1415;GORROS DE PERSONAJES (JACK, SPIDERMAN, SONIC);Unidad;5
1074;GORROS navide�os del grinch;Unidad;2
1254;GRINCH CON PAVO;Unidad;2
1301;GRINCH CON REGALO;Unidad;0
1199;GUANTES HARRY POTTER;Unidad;13
494;HACHA MINECRATF;Unidad;0
